Title,Stars,Reviewers,Cost,Page Count,Levels 1-4,Levels 5-10,Levels 11-16,Levels 17+
All in a Dray's Work - Waterdeep Faction Adventure,4.5,6,2.95,16,1,0,0,0
Classic Modules Today: D3 Vault of the Drow (5e),4.2,6,1.95,8,0,0,1,0
The Dead Wizards Tower,4.8,10,4.95,21,0,1,0,0
When Madness Calls,5.0,11,4.95,38,0,1,0,0
The Crucible (one shot adventure),4.4,33,0.0,41,0,1,0,0
Classic Modules Today: D1-2 Descent into the Depths of the Earth (5e),4.2,6,1.95,7,0,0,1,0
"Puzzles, Predicaments, and Perplexities II (Fantasy Grounds)",4.9,7,4.95,-1,0,0,0,0
Xanathar Guild Missions,3.3,4,1.99,4,0,0,0,0
Classic Modules Today: Q1 Queen of the Demonweb Pits (5e),4.6,7,1.95,13,0,0,1,0
Bard-Core Brawlers,5.0,7,4.95,20,0,1,0,0
DDAL-DRW02 Blood in the Water,2.9,15,4.99,33,0,1,0,0
100 Bard Songs,4.3,23,0.0,10,0,0,0,0
CCC-WWC-04 The Black Hand,4.9,20,4.99,26,1,0,0,0
A City of Eyes,4.7,27,19.99,116,0,0,0,1
The Poultrygeist,5.0,1,3.95,13,0,1,0,0
Curse of Strahd: Khazan's Tower Puzzle Artwork & Guide,4.8,25,0.0,-1,0,1,0,0
It Got Under His Skin - Waterdeep Faction Adventure,4.8,11,2.95,20,0,0,0,0
The Road Through Kryptgarden,5.0,1,7.95,40,0,1,0,0
Annihilation Hold - Adventure,5.0,3,6.95,23,0,1,1,0
Goblin Trouble,4.9,9,3.99,85,1,0,0,0
The Dragon and the Spell book,5.0,2,1.0,18,1,0,0,0
The War for the Throne (Fantasy Grounds),5.0,2,14.99,-1,0,1,0,0
CCC-RPSG-03 Fenaria's Gambit,5.0,9,4.99,74,0,0,1,0
A Murder Most Fowl - A One Shot Murder Mystery,5.0,1,3.99,9,1,0,0,0
DRAGONBOWL (5e adventure),5.0,7,19.95,306,0,0,0,0
The Helian Heist,5.0,2,1.99,19,1,1,0,0
Die Kräutersuche - ein Einsteigerabenteuer,5.0,4,3.39,13,0,0,0,0
One-Shot: Sullied Waters,4.7,9,4.99,10,1,1,1,0
CCC-RPSG-02 Ooze Next?,5.0,9,3.99,41,0,1,0,0
Adventures & Maps for Waterdeep: Dragon Heist,4.9,10,3.98,-1,1,0,0,0
Twilight at Eventide,5.0,4,4.95,32,1,0,0,0
Toolbox Solo Adventure A2: A Drop of Venom,5.0,1,1.99,17,0,0,0,0
Confrontation at Candlekeep (5e),4.2,22,4.99,-1,1,0,0,0
The Beast of Graenseskov: An Introductory Ravenloft Adventure,4.8,25,5.0,80,1,0,0,0
Captain Snowmane's Guided Cruise Through the Domains of Dread,5.0,2,14.95,73,0,0,0,0
DDAL08-18 Moving Day,3.0,16,4.99,33,0,0,0,1
EBERRON: A Trek in the Shadows,-1.0,0,0.5,3,0,1,0,0
The Petrified Forest (WBW-DC-ANDL-01),5.0,3,4.99,36,0,1,0,0
WBW-DC-CONMAR-04 A pleasure cruise,5.0,2,2.99,18,0,1,0,0
One Shot: The Cage,4.4,19,3.99,29,1,1,0,0
Die Dreieber Trilogie,4.5,2,5.95,38,0,0,0,0
Mordenkainen's Haunted Mansion,5.0,1,3.99,16,0,0,0,0
Sins of the Past,4.8,5,2.49,21,1,0,0,0
The Wandering Carnival,5.0,1,1.0,13,1,0,0,0
Yearning to Breathe Free,5.0,18,9.95,95,0,1,0,0
DDAL08-16 A Change of Address,2.5,13,4.99,44,0,0,0,1
Ten City Adventures,4.5,8,0.0,56,0,0,0,0
The torment of sister Garaele,4.8,10,1.99,-1,0,0,0,0
Astonishing Adventures!,5.0,5,8.95,172,1,1,1,0
Procan's Promenade,5.0,1,2.99,23,1,0,0,0
Igor's Challenge,4.5,101,0.0,10,1,1,1,1
Blackbriars - A Ravenloft Adventure,4.4,11,4.95,12,1,1,0,0
Into the Dragon's Maw (5E Adventure),4.9,21,2.99,30,1,1,0,0
Wisdom and Warning: The Demon Wastes,5.0,3,14.95,119,0,1,1,0
Mroczne posągi,5.0,6,3.99,184,0,0,0,0
Elminster's Candlekeep Companion (Fantasy Grounds),4.9,10,19.95,-1,0,0,0,0
La Meravigliosa Torre di Droniel,4.8,25,0.0,72,1,1,0,0
Six Swords Out of Hell,5.0,4,9.99,104,0,0,1,0
Shipwrecked! Part Four: Mystery of Fang Island,5.0,1,3.99,52,0,0,0,0
CCC-BMG-MOON2-2 Army of the Unseen,4.8,19,4.99,37,0,0,0,0
Adaptable NPCs II (Fantasy Grounds),4.9,15,24.95,-1,1,1,1,0
DMA #4: Complete Starter Village,4.8,17,0.0,47,1,1,0,0
BEHOLD! Liar's Night,4.9,15,6.95,76,0,0,0,0
Dark Sorceries - A 5E Solo Adventure,4.3,23,9.95,43,1,0,0,0
Curse of the Headless Horseman (A Halloween themed adventure),4.8,5,1.99,20,1,1,0,0
The Tree of Blight,4.6,21,1.95,20,1,0,0,0
Theros Quests: The Islands,4.0,1,0.99,9,0,0,0,0
A Great Upheaval - a Storm King's Thunder DM's Resource,4.5,34,0.0,9,0,0,0,0
Classic Modules Today: I3-5 Desert of Desolation (5e),4.9,7,2.95,50,0,1,0,0
Ravenloft Reborn: Night of the Walking Dead Conversion,4.7,3,1.75,31,0,0,0,0
Dragon Relics,5.0,7,34.95,99,1,1,1,0
Adventure: Dead of Winter,4.6,17,1.0,10,1,0,0,0
The Cabin in the Woods,3.0,1,1.95,12,0,0,0,0
Rise of Tiamat: Chapter 15 Guide,-1.0,0,6.95,18,0,0,0,0
The Mage's Door,-1.0,0,10.0,30,0,1,0,0
DDAL08-15 Forge of Fangs,2.8,16,4.99,26,0,0,1,0
Adventure: House of Horror,4.9,13,2.95,14,0,0,1,0
Across the Planes: The Feywild,5.0,2,14.95,62,0,0,0,0
Blibdoolpoolp Rising - Adventure,5.0,5,6.95,20,1,1,0,0
Adventures in the Icewind Dale and other Arctic Regions,5.0,2,1.99,4,0,0,0,0
Eberron Newspapers: Korranberg Chronicle | Part 1 - Quests,4.8,4,4.95,26,0,0,0,0
Dragons of Waterdeep,5.0,1,3.95,41,0,0,0,0
Adaptable NPCs of the Guild (Fantasy Grounds),4.9,10,24.95,-1,1,1,0,0
Dread Shelan & the Sahuagin,4.0,3,2.95,16,0,1,0,0
Battle for the Undercity (5e),4.3,22,3.99,16,0,1,0,0
Night at the Lucaryen,5.0,4,2.95,15,0,1,1,0
The Treasure of Captain Darkmoon,-1.0,0,3.95,14,0,0,0,0
Ghosts of Dragonspear Castle (D&D Next),4.4,63,17.99,292,1,1,0,0
5E Automatic Effects - Lost Mine of Phandelver (Fantasy Grounds),5.0,1,2.95,-1,0,0,0,0
DDAL08-14 Rescue from Vanrakdoom,1.7,18,4.99,29,0,0,1,0
The Mage's Tower,4.5,32,0.0,9,1,0,0,0
Labyrinth of Scorn,-1.0,0,2.99,27,0,0,1,0
The Goblin Bathwater Incident,4.9,11,7.95,54,1,0,0,0
S2 White Plume Mountain (1e),4.7,26,4.99,-1,0,1,0,0
CCC-GEL-01 Bedlam at the Benefit,4.7,25,2.0,26,1,0,0,0
Hoard of the Dragon Queen: Chapter 1 Guide,5.0,1,6.95,12,0,0,0,0
The Pumpkining! (A Halloween One-shot),5.0,2,2.95,11,1,0,0,0
Hoard of the Dragon Queen: Chapter 8 Guide,-1.0,0,6.95,16,0,0,0,0
DDAL00-04 Winter's Flame (5e),4.3,123,2.99,17,1,0,0,0
Sharn Notice Boards: After Dark,5.0,2,4.95,27,1,1,0,0
"Traps, Tricks and Puzzles 4",-1.0,0,2.0,25,1,1,0,0
CCC-PDXAGE-01-01 The White Well,4.6,32,4.99,19,1,0,0,0
Monster Loot – Lost Mine of Phandelver (Fantasy Grounds),5.0,3,0.95,-1,0,0,0,0
We wish you a Scary Christmas,-1.0,0,0.0,15,0,0,1,0
Quite the Pickle - A Saltmarsh Adventure,4.9,9,4.95,54,0,1,0,0
Cruel Summer: An expansion for Waterdeep: Dragon Heist,4.9,9,1.0,41,0,1,0,0
Quick Dungeons 2: Lair of the Ooze Lord,4.9,12,1.0,8,1,1,0,0
Tales From the World's End,5.0,3,12.95,87,1,1,1,0
First Blush on Fantasy Grounds,5.0,1,2.0,-1,1,0,0,0
Dark Waters,4.6,7,2.95,20,1,0,0,0
The Graveyard Shift,4.9,27,5.95,23,1,0,0,0
The Ring of the Battle Maiden,4.9,22,2.99,23,1,0,0,0
Return to Icespire Hold,-1.0,0,2.95,30,0,1,0,0
Temple of the Nightbringers: Anniversary Edition,4.8,20,2.95,15,1,0,0,0
Lost in Shadow,5.0,3,7.95,73,1,0,0,0
Trinkets of the Underdark,5.0,2,1.0,8,0,0,0,0
51 Soul Coins,5.0,4,3.95,22,0,0,0,0
The Shadow of Serpentridge Hollow Solo,5.0,1,2.99,20,1,0,0,0
CCC-RPSG-04 The Waystop,4.8,13,3.99,34,1,0,0,0
Eberron Gothic: Curse of the Thornwood,5.0,5,9.95,67,0,1,0,0
One Night in the City: Urban Encounters of the Wild Kind,4.3,12,0.0,12,0,0,0,0
CCC-BMG-MOON2-3 The Eye in the Mist,4.7,10,4.99,43,0,0,0,0
CCC-ODFC02-02 Palace of the Efreeti,4.9,25,4.99,48,0,1,0,0
Necromancer of Zhentil Keep,4.9,9,14.95,80,0,0,1,0
Eberron Newspapers: Korranberg Chronicle | Part 2 - Quest Seeds,5.0,3,4.95,28,0,0,0,0
Classic Modules Today: A1 Slave Pits of the Undercity (5E),3.4,10,1.95,13,0,1,0,0
Festivals & Fisticuffs II: Family Fun,5.0,1,1.0,12,1,1,1,0
Mike's Free Encounters #11-20,4.7,9,0.0,102,1,1,1,0
The Dashing Kobold Kavalry,4.8,6,4.95,35,0,1,0,0
Tier 1 Monster Hunts: Ravenloft,-1.0,0,4.95,30,1,0,0,0
"Waterdeep: Dragon Heist Complete DM's Bundle (Guides, Maps, Adventures and other Resources) (Fantasy Grounds)",5.0,9,19.95,-1,0,0,0,0
Book of Seasons: Solstices,4.9,10,46.99,178,1,1,1,1
A Fistful of Coppers: 26 Guild Best-Sellers,4.6,10,19.95,800,0,0,0,0
A Grave of Riches,-1.0,0,3.5,18,0,0,0,0
Rising Sands,4.7,12,4.95,18,0,1,0,0
The Malady Chronicles,4.9,17,14.95,192,0,0,0,0
Haven Cross: The Adventurers Guild,4.8,54,6.0,103,1,0,0,0
CCC-KUMORI-02-04 To Be the Very Best,4.6,11,2.99,37,1,0,0,0
CCC-AETHER-01-01 The Heir of Orcus: Verse I,4.8,45,5.95,41,1,0,0,0
Baldur's Gate Notice Boards 2 | A Descent Into Avernus Supplement,5.0,4,4.95,24,1,1,0,0
Van Richten Dies in Ravenloft,5.0,2,4.95,16,1,0,0,0
Breaker of Chains: An Adventure for Levels 6-8,4.7,19,4.95,26,0,1,0,0
Castle Ravenloft Player Maps (Fantasy Grounds & Source Maps),4.8,36,0.0,-1,0,0,0,0
Mined Your Head: An Unofficial Prequel to Rime of the Frostmaiden,5.0,5,4.95,16,0,0,1,1
Dragon in a Toy Shop,-1.0,0,0.0,13,1,1,0,0
D&D Solo Adventure: Tyrant of Zhentil Keep (Fantasy Grounds),4.8,24,14.99,-1,1,0,0,0
Third Time's the Charm on Fantasy Grounds,5.0,1,2.0,-1,1,1,0,0
The Solo Adventurer's Toolbox (Fantasy Grounds),4.7,16,24.99,-1,0,0,0,0
A Promise of Death,-1.0,0,1.95,18,0,1,0,0
Lost Tales of Phandelver II - Ghosts of Tresendar Manor,4.8,5,1.99,12,1,0,0,0
SOLO EPA 02: Fight for the Dawn Saber,5.0,13,14.99,515,0,0,0,0
The Deranged Dwarf,-1.0,0,0.0,9,1,0,0,0
The Grandmother Tree,5.0,3,3.95,15,1,0,0,0
"VeX's Expanded Dungeon of the Mad Mage, Level 01 (PDF)",4.0,2,2.99,6,0,1,0,0
Spooky One-Shot Adventures for Horror and Halloween,5.0,1,1.0,2,0,0,0,0
The Stolen Compass: A Theros Odyssey,-1.0,0,0.0,9,1,1,0,0
Elf-Napped!,-1.0,0,4.95,36,1,0,0,0
Fun for the People,4.3,41,0.0,50,1,1,1,0
The Perilous Pact - A 4-6hr one-shot adventure in Waterdeep,4.6,21,0.0,16,1,0,0,0
Hoard of the Dragon Queen: Chapter 4 Guide,5.0,1,6.95,22,0,0,0,0
Phandalin 001 Return to Phandalin,4.4,19,0.0,28,0,1,0,0
Sigurd's Island,-1.0,0,4.99,36,0,1,0,0
Isle of the Dying Moon: An 11th-level One-Shot,5.0,1,3.95,13,0,1,1,0
The Missing Minstrel,-1.0,0,0.0,7,1,0,0,0
The Wizard of Zo,4.7,12,4.95,29,0,1,0,0
Let's Go in the Garden,5.0,1,3.99,25,1,0,0,0
These Ghosts of Mine,5.0,1,4.95,24,0,1,0,0
The Call of Atropus,4.7,19,4.95,21,0,1,0,0
Spider Woods - Tier 1 Adventure Site using Random Tables,4.0,1,2.0,3,1,0,0,0
The Locrian Way: A Mythic Odyssey of Theros,-1.0,0,1.99,12,1,0,0,0
Adventures in the Night - Level 1 Mini Adventure,5.0,9,0.0,9,1,0,0,0
The Beast of Bastion Bay,4.8,14,5.95,39,0,1,0,0
Classic Modules Today: A2 Secret of the Slavers Stockade (5E),5.0,3,1.95,13,0,1,0,0
Sorrow's Ruin,4.9,11,1.95,32,1,0,0,0
"Midnight in the City of Brass (Al-Qadim and Forgotten Realms ""Digital Sourcebox"")",4.3,9,7.95,86,0,1,0,0
Calpurnia's Guide to Practical Traps,5.0,1,4.95,57,1,1,0,0
The Hag's Hexes,4.6,11,6.95,66,0,1,0,0
Hoard of the Dragon Queen: Chapter 6 Guide,5.0,1,6.95,18,0,0,0,0
Classic Modules Today: G1-2-3 Against the Giants (5e),4.5,6,1.95,18,0,0,1,0
DDAL-DRW03 Saving Silverbeard,4.1,7,4.99,31,0,0,1,0
Vysianter's Guide to the Red Wastes of Avernus,-1.0,0,2.95,28,0,1,0,0
Monsters of the North,-1.0,0,1.99,11,0,0,0,0
WILD HUNT: Waterdeep,5.0,1,5.0,27,0,0,0,0
CCC-GHC-BK1-01 Into the Border Kingdoms,4.5,15,2.99,22,1,0,0,0
CCC-GSP01-01 A Dragon's Breath,4.8,36,4.99,44,1,0,0,0
Abominable Adventures - An Encounter Guidebook In The Frozen Tundra,5.0,4,5.99,38,1,0,0,0
Christmas in Barovia,5.0,1,1.0,16,1,1,0,0
Nsfw,4.7,7,4.95,19,1,1,0,0
The Mystic Circle,4.6,79,0.0,9,1,0,0,0
Ein starker Humpen,-1.0,0,2.84,12,0,0,0,0
Daerdan's Tall Tales: 101 Arctic Encounters,5.0,1,8.95,119,1,1,1,1
Revenge of the Gith (one shot adventure),4.6,5,1.95,80,0,0,1,0
CCC-LINKS-01 Champion of the People,3.6,19,4.99,33,0,1,0,0
Monster Hunts: Avernus,4.9,11,9.95,60,0,0,0,0
CCC-GAD02-03 Arena of Champions,5.0,3,4.99,53,0,0,1,0
Into Kryptgarden Forest - A 5E Solo Adventure,4.4,15,4.99,57,0,0,0,0
The Lurker Beneath Red Larch - Adventure,4.8,12,1.95,13,1,0,0,0
ZETH-02 Six Striking Swords (CCC-HAL-02),4.2,14,4.99,57,0,1,0,0
White as Snow,5.0,2,3.99,58,0,1,1,0
The Lost Caravan: A One Shot Adventure Module for Beginners,4.8,4,0.0,41,1,0,0,0
Classic Modules Today: A4 In the Dungeon of the Slave Lords (5E),5.0,3,1.95,-1,0,1,0,0
Adventure: City of the Dead,4.6,18,2.95,22,1,1,0,0
Until The Cows Come Home,4.6,8,2.95,12,1,0,0,0
Red Jack: A Gothic Earth Adventure,4.6,27,1.95,16,0,0,0,0
Das ist nicht das Ende (One-Shot!),5.0,2,0.0,5,1,0,0,0
Attack on Avernus: The Wrath of Tiamat!,4.1,10,7.5,78,0,0,0,1
Echo der Feenwildnis,5.0,4,1.7,4,0,0,0,0
Hoard of the Dragon Queen: Chapter 7 Guide,5.0,1,6.95,9,0,0,0,0
The Vault of Eternity (5e),5.0,7,2.95,19,0,1,1,0
Forward Unto Zenith,5.0,1,4.95,14,0,1,0,0
The Ruins of Fafe Edhil Solo,-1.0,0,2.99,18,1,0,0,0
Improving the Winding Way: a better dungeon for Isle of the Abbey,5.0,3,1.0,16,0,1,0,0
R1 - Lost But Not Forgotten,-1.0,0,4.95,21,1,0,0,0
Ten Storm King's Thunder Encounters,5.0,6,2.99,13,1,1,0,0
Balancing Encounters: Waterdeep Dragon Heist,5.0,5,4.95,42,1,0,0,0
Solace In Silence,4.8,18,4.95,22,0,1,1,1
Adventures in Ravenloft (Fantasy Grounds),5.0,1,19.95,-1,0,0,0,0
Wolf of Airedale - Oneshot Adventure,-1.0,0,1.99,10,1,0,0,0
Scrying Into His Handkerchief - Waterdeep Faction Adventure,5.0,2,2.95,9,1,0,0,0
Copperline Bank & Loan: a Bank Heist Adventure,-1.0,0,3.0,19,1,1,0,0
Minotaur's Bargain - The Minotaur Trilogy: Part 1,4.9,15,4.95,19,0,1,0,0
The Dragon-Tower of Candlekeep,5.0,3,4.99,33,0,1,0,0
Curse of Strahd: Luna Lake,5.0,1,2.99,22,0,1,0,0
Quick Dungeons 1: The Hidden Tomb,4.8,20,1.0,8,1,0,0,0
Festivals & Fisticuffs,5.0,1,1.0,15,1,1,1,0
Quick Encounter #5 - Oasis,-1.0,0,0.0,1,1,0,0,0
CCC-STORM-01 The Barrows of Solina,4.9,15,4.99,36,0,1,0,0
Scourge of the Nightingale: Part 1 A Song of Love,5.0,5,4.95,28,1,1,0,0
CCC-BMG-MOON13-1 Lure of the Reefs,5.0,2,4.99,35,0,0,1,0
Winds of Madness,5.0,4,9.95,90,0,0,1,0
Hoard of the Dragon Queen: Chapter 5 Guide,5.0,1,6.95,13,0,0,0,0
Classic Modules Today: A3 Assault on the Aerie of the Slave Lords(5E),5.0,3,1.95,9,0,1,0,0
A Caravance Carol: A Fey Adventure for Christmas,5.0,2,3.95,20,1,0,0,0
Barreling Forward,5.0,2,4.95,20,0,0,0,0
ZETH-03 Six Swords Unbound (CCC-HAL-03),4.8,10,4.99,53,0,1,0,0
New Neverwinter,4.6,10,0.0,76,0,0,0,0
Bale's Outfitting Outpost & 20 New Magic Items,4.7,15,1.95,18,1,1,0,0
G1-3 Against the Giants (1e),4.5,57,4.99,-1,0,1,1,0
CCC-LINKS-02 The Secrets We Keep,4.5,12,4.99,29,0,0,1,0
Mistress of Blood Tower - Adventure,5.0,2,4.95,26,1,1,0,0
Grave Concerns - Waterdeep Faction Adventure,5.0,1,2.95,14,1,0,0,0
Escape from Wheloon,4.5,52,4.95,21,1,0,0,0
The Madman Behind the Pews,4.8,5,2.95,21,0,1,0,0
Wyrms of the Realms: Arveiaturace,-1.0,0,2.99,19,0,1,0,1
CCC-BMG-02 CORE 1-2 A Cog in the Wheel,3.7,19,4.99,38,1,0,0,0
Adventure: Leomund's Misplaced Manor,4.8,45,0.0,20,1,1,0,0
CCC-SFBAY-01-01 Plots in Motion,4.5,22,1.99,48,0,1,0,0
Fog Over Saltmarsh,4.8,5,0.99,20,0,0,0,0
Book of Seasons: Equinoxes,5.0,5,47.99,171,1,1,1,1
Temple of the Opal Goddess,4.7,18,4.95,44,0,1,0,0
CCC-MAG01-01 Mischief at the Festival,4.8,5,4.99,47,1,0,0,0
Starter Set Companion,4.7,14,0.0,106,0,0,0,0
CCC-CIC-01 The Vault of the Devourer,4.4,20,4.99,32,0,0,0,0
Classic Modules Today: I9 Day of Al´Akbar (5e),-1.0,0,2.45,23,0,0,0,0
Essential Phandalin 008: The Shrine of Savras,-1.0,0,0.0,20,0,1,0,0
Laboratory of the Mad Abbot (Fantasy Grounds),-1.0,0,2.95,-1,0,0,0,0
Pinnacle of Power,-1.0,0,4.99,54,0,1,0,0
Return to White Plume Mountain 5E Conversion,-1.0,0,0.0,-1,0,1,1,0
THE HIGH ROAD - Prologue to the Lost Mine of Phandelver,5.0,1,2.5,16,1,0,0,0
Adaptable NPCs: Calamity (Fantasy Grounds),4.9,11,14.95,-1,1,1,0,0
The Serpentine Path,-1.0,0,4.99,43,0,1,0,0
Neon Knights | An Eberron 1099 YK Adventure,4.8,5,6.95,48,1,1,0,0
The Call of the Drowned,5.0,1,4.0,12,1,0,0,0
The Lost Temple of New Thundertree,5.0,5,2.95,9,0,1,0,0
DotMM: Boxed Flavor Text and Combat Tracker - Level 9: Dweomercore (Waterdeep: Dungeon of the Mad Mage),-1.0,0,0.99,32,0,0,0,0
M1 Blizzard Pass (Basic),3.7,6,4.99,-1,1,0,0,0
The Magic Academy,5.0,2,2.95,43,1,0,0,0
WBW-DC-PHP-01 Pot Luck!,-1.0,0,3.99,21,0,1,0,0
CCC-BMG-MOON13-2 Monsters of the Deep,4.0,2,4.99,52,0,0,1,0
CCC-UCON02-01 The Goat Mayor,5.0,2,4.99,34,1,0,0,0
100 Uncharted Islands,4.5,21,0.0,11,0,0,0,0
D3 Vault of the Drow - 5e Conversion Guide with Maps,-1.0,0,2.95,60,0,0,1,0
On the Sea of Swords: a 5th Level Pirate Adventure,4.8,5,1.95,2,0,0,0,0
Curse on Beregost - A Candlekeep Mysteries Bookend,5.0,6,2.49,9,1,0,0,0
Adventure: Unknown Whom II - The Mark of the Eye (Fantasy Grounds),4.8,23,5.0,-1,1,1,0,0
Days of Blight: An Offering of Innocents,4.9,20,3.95,34,1,1,0,0
DotMM: Boxed Flavor Text and Combat Tracker - Level 1 (Waterdeep: Dungeon of the Mad Mage),5.0,3,0.99,24,0,0,0,0
Menzoberranzan Drow Campaign Supplement,4.0,1,2.99,98,0,0,0,0
Chult Encounters,4.3,13,0.0,38,0,0,0,0
Into the Shadowmire,5.0,1,4.95,12,1,0,0,0
The Phantom of Music: An Adventure of Love and Death,4.3,3,4.95,39,1,0,0,0
CCC-BMG-MOON13-3 Wolves of the Sea,5.0,1,4.99,54,0,0,1,0
Fishing for Gods in Strade's Gallows,4.9,19,5.99,56,1,0,0,0
Heist At The Ever Sea,-1.0,0,1.0,18,1,0,0,0
The Circus,5.0,1,4.0,33,1,0,0,0
WBW-DC-ZODIAC-00 Luna Park,5.0,1,2.99,40,0,0,0,0
An Urgent Rescue,4.6,66,0.0,11,1,0,0,0
Attack of the 50ft Bikini Werewolf,5.0,8,4.99,20,0,0,0,1
100 Monster Hunts (Fantasy Grounds),4.8,9,7.95,-1,1,1,1,1
A Nightmare In Kryptgarden,-1.0,0,5.6,56,0,1,1,0
Troll Trouble,4.7,25,1.0,14,1,0,0,0
CCC-GSP04-01 Devil King High School: Year One,5.0,5,4.99,33,1,0,0,0
Away with the Faeries,5.0,10,4.95,42,0,0,0,0
Curse of the Sea Witch - Adventure,4.0,3,0.0,28,1,0,0,0
Classic Modules Today: S4 The Lost Caverns of Tsojcanth (5e),4.8,10,1.95,12,0,1,0,0
Grammy's Country Apple Pie,4.4,8,0.99,8,1,0,0,0
Disaster Hamsters,4.7,3,7.95,50,0,0,0,0
Maze of Shadows,4.5,45,5.95,60,0,0,1,0
The Dead Wedding,4.6,7,0.99,19,0,0,1,0
Ins & Outs of Undermountain - Waterdeep Dungeon of the Mad Mage Supplement,4.8,4,1.99,7,0,1,1,0
Rahadin: Dread Knight of Ravenloft,5.0,2,3.0,10,0,0,1,0
Dungeon Delve (4e),4.6,13,14.99,-1,1,1,1,0
I3-5 Desert of Desolation (1e),4.7,16,9.99,-1,0,1,0,0
D&D Solo Adventure: The Tortured Land (Fantasy Grounds),4.6,12,14.99,-1,1,0,0,0
The Heart of the House,5.0,3,12.95,52,0,1,0,0
Tier 1 Monster Hunts,5.0,6,4.95,20,1,0,0,0
Hoard of the Dragon Queen: Extra Encounters,5.0,1,1.99,3,0,0,0,0
D&D Solo Adventure: Citadel of the Raven (Fantasy Grounds),4.7,14,14.99,-1,1,0,0,0
Monster Hunts: Theros,5.0,4,9.95,35,0,0,0,0
CCC-MELB-02 The Sunken Sepulcher,4.9,10,3.85,31,1,0,0,0
Tasha's Magical Mirror Maze,-1.0,0,4.0,7,0,1,1,1
Quick Encounter #4 - Ambush,-1.0,0,0.0,1,0,1,0,0
CCC-GSP02-02 Stygia Untamed,4.0,11,4.99,38,0,1,0,0
A Kobold Christmas,5.0,3,7.95,15,1,0,0,0
Call of the Kraken: Waterdeep,4.7,3,0.99,14,0,1,0,0
Dung Work - Waterdeep Faction Adventure,4.8,6,2.95,19,1,0,0,0
"Van Richten's Dungeon: Issue 4, Borca",-1.0,0,0.5,3,1,0,0,0
S4: The Lost Caverns of Tsojcanth (1e),4.5,22,4.99,-1,0,1,0,0
Classic Modules Today: A0 Danger at Darkshelf Quarry,4.8,5,1.0,10,1,0,0,0
Hoard of the Dragon Queen: Chapter 2 Guide,5.0,1,6.95,13,0,0,0,0
CCC-AETHER-01-02 The Heir of Orcus: Verse II,4.9,29,5.95,29,1,0,0,0
Mike's Free Encounters #21-30,4.4,9,0.0,130,1,1,0,0
Rise of Tiamat: Council of Giants,4.7,3,1.99,4,0,0,1,0
Case of the Wayward Finale,-1.0,0,4.95,21,0,1,0,0
The Heir of Orcus: Verse III - CCC-ROLL20-02,4.9,19,5.95,58,0,1,0,0
D1-2 Descent into the Depths of the Earth (1e),4.5,37,4.99,-1,0,1,1,0
Horrific Encounters in Ravenloft,5.0,1,4.95,16,0,0,0,0
Temple of the Broken Prince,4.7,3,4.95,13,1,1,0,0
CCC-BMG-MOON12-1 Nothing Is Sacred,4.7,3,4.99,32,0,0,0,0
City of the Undead,4.7,3,0.0,30,0,1,0,0
Into the Temple of the Yuan-Ti,4.8,20,1.99,21,0,1,0,0
Blood on the Trail - Adventure,4.6,28,4.95,20,1,0,0,0
DotMM: Boxed Flavor Text and Combat Tracker - Level 8: Slitherswamp (Waterdeep: Dungeon of the Mad Mage),-1.0,0,0.99,18,0,0,0,0
Baldur's Gate to Candlekeep and Beyond,5.0,2,4.5,24,0,0,0,0
WBW-DC-Sunlit-04 - Blank Stare,-1.0,0,0.0,-1,0,0,0,0
WBW-DC-Sunlit-04 to -06 Bundle!,-1.0,0,9.99,-1,0,1,0,0
Struggle in Three Horn Valley (Chult) - Dino-Wars vol 1,4.8,16,4.95,42,0,0,0,0
Tavern Games,4.7,15,1.0,9,0,0,0,0
Waterdeep: Final Resting Place,3.8,4,2.0,10,0,1,0,0
CCC-GHC-BK1-07 The Peculiar Case of the Selptan Felines,4.6,15,4.99,38,1,0,0,0
UNBRIDLED,4.9,12,14.95,125,1,1,0,0
Classic Modules Today: H4 Throne of Bloodstone (5e),4.5,4,2.0,25,0,0,0,0
Dungeon Tales #1,4.8,17,9.95,265,1,1,0,0
RMH-01 - The Final Curtain Map Assets,5.0,1,0.5,-1,0,0,0,0
"Dunwood - Demons, Druids, & Danger",5.0,8,14.95,109,0,0,0,0
La Seconda Alba Nera,4.7,32,7.95,59,0,0,0,0
Isle of the Oracles - Tier 1 Adventure Site,-1.0,0,2.0,3,1,0,0,0
Battle Royale,5.0,1,4.95,35,0,0,1,0
The Dark God in the Well: A One Shot,5.0,7,2.0,8,0,1,0,0
Into The Abyss (one shot adventure),4.9,10,0.0,47,0,0,1,0
Treat or Trick,4.8,14,2.0,7,1,0,0,0
CCC-BMG-03 CORE 1-3 A Hole in the World,3.9,16,4.99,35,1,0,0,0
Davybar's Plunder,-1.0,0,0.0,8,1,1,0,0
Realm of the Pumpkin King,5.0,1,4.95,37,0,1,0,0
CCC-YLRA01-01 Her Dying Wish,4.7,25,4.99,74,0,1,0,0
"VeX's Expanded Dungeon of the Mad Mage, Level 03 (PDF)",4.5,2,2.99,23,0,1,0,0
RMH-03 - The Amber Dirge Map Assets,5.0,1,1.95,-1,0,0,0,0
Creeping Damp,-1.0,0,0.99,14,0,1,0,0
